TREC,$345.24M
NG,$1.28B
MHO,$928.27M
FLXN,$878.46M
CII,$750.95M
ACHC,$3.02B
HD,$241.99B
APDN,$47.58M
KE,$505.91M
BLUE,$9.89B
ELSE,$14.06M
BRKR,$5.53B
EBAYL,n/a
WVE,$1.1B
FCAN,$6.8M
BK,$58.56B
RVNC,$1.22B
MTFB,$135.86M
GHL,$516.08M
GRIF,$185.5M
PIY,n/a
SYX,$1.21B
TOWR,$652.8M
ATEN,$491.72M
APTS,$625.97M
GTYHW,n/a
CPN,$5.45B
CLBS,$40.72M
UBIO,$54M
SFM,$3.73B
ADS,$14.47B
FCNCA,$5.25B
CLR,$21.62B
NTRA,$642.54M
FRO,$826.97M
LGI,$185.09M
UBNK,$858.87M
RMP,$2.24B
LVNTA,$5.13B
VIGI,$881.45M
PAVMW,n/a
NVMM,$58.67M
EPAM,$6.29B
BBT^G,n/a
RUBI,$107.05M
CHTR,$94.2B
BOE,$887.58M
EVC,$666.04M
HEI,$8.73B
BCPC,$2.59B
AEM,$11.46B
KEY^I,n/a
GBAB,$380.2M
MTB^,n/a
JNJ,$390.43B
AKS,$2B
HLNE,$1.83B
SGRP,$31.69M
LN,$10.06B
ABEOW,n/a
STB,$579.76M
DUC,$241.68M
AGM.A,n/a
CECE,$171.11M
BKD,$1.83B
ESNC,$23.17M
CHN,$388.35M
PSO,$7.88B
HIO,$655.21M
WYIGW,n/a
HASI,$1.14B
ITRN,$731.79M
AQB,$25M
UDR,$9.78B
HAE,$3.51B
PSA^W,n/a
DTK.CL,n/a
KEM,$1.11B
STAR          ,$754.29M
ENS,$3.06B
EGI,$92.51M
EDI,$152.85M
ONTX,$15.56M
AKAO,$458.27M
SREV,$315.54M
WPG^I,n/a
ILPT,$1.43B
PSEC,$2.47B
TTNP,$29.69M
LMB,$105.12M
LYV,$9.39B
BTA,$156.64M
CDE,$1.57B
SHLM,$1.19B
TECD,$3.95B
PAA,$16.53B
HYT,$1.4B
PFPT,$4.63B
KMM,$199.3M
DSKE,$681.31M
ABTX,$522.65M
NWS,$10.2B
NTGR,$2.23B
NBRV,$245.1M
SSW,$954.28M
CNACW,n/a
ASML,$88.91B
MXIM,$16.61B
MDT,$117.92B
LOXO,$3.11B
IART,$4.17B
ZOES,$277.68M
CMRE^B,n/a
NOK,$26.89B
PFD,$153.88M
PRLB,$2.97B
IMMP,$44.18M
NGHCO,n/a
BLIN          ,$10.12M
APA,$18.32B
LTBR,$34.38M
KAACW,n/a
SHG,$23.37B
ADRE,$188.15M
OFS,$156.02M
CYS^B,n/a
TMK,$10.77B
ATLC,$34.03M
SHLX,$5.59B
REX,$546.95M
BCEI,$568.2M
JSYNU,n/a
MCBC,$350.27M
SSWN,n/a
PSTG,$4.32B
HAYN,$465.86M
WSTL,$53.66M
MPA,$188.94M
JASO,$353.55M
NXE,$787.27M
GNE,$109.81M
MMC,$43.75B
IRCP,$1.76B
CXDC,$231.23M
PFSI,$532.15M
NURO,$4.13M
SYNA,$1.53B
PSB^W,n/a
CVM.WS,n/a
BATRA,n/a
IOSP,$1.78B
DSLV,$32.99M
MSTR,$1.58B
HSKA,$597.4M
KYN,$2.32B
TRNO,$1.93B
ALCO,$223.01M
HY,$1.45B
ITGR,$1.62B
MVIS,$99.03M
O,$15.28B
VC,$4.21B
SCMP,$846.67M
ALE,$3.72B
AMBCW,n/a
MTBCP,$24.06M
CSLT,$501.52M
CUBA,$46.25M
ACGL,$12.05B
LEJU,$228.08M
OAS,$2.43B
PBNC,$293.94M
JHD,$269.29M
PFBC,$954.11M
VCO,$1.68B
PRTO,$38.76M
TPIV,$40.3M
